area1,time,freqavg
전라북도,10,4
전라북도,11,7
전라북도,12,8
전라북도,13,6
전라북도,14,5
전라북도,15,5
전라북도,16,6
전라북도,17,9
전라북도,18,13
전라북도,19,12
전라북도,20,10
전라북도,21,9
전라북도,22,8
전라북도,23,7
제주특별자치도,0,5
제주특별자치도,1,3
제주특별자치도,2,3
제주특별자치도,3,3
제주특별자치도,4,2
제주특별자치도,5,2
제주특별자치도,6,2
제주특별자치도,7,2
제주특별자치도,8,1
제주특별자치도,9,2
제주특별자치도,10,4
제주특별자치도,11,8
제주특별자치도,12,10
제주특별자치도,13,8
제주특별자치도,14,6
제주특별자치도,15,6
제주특별자치도,16,7
제주특별자치도,17,12
제주특별자치도,18,20
제주특별자치도,19,19
제주특별자치도,20,16
제주특별자치도,21,13
제주특별자치도,22,10
제주특별자치도,23,7
충청남도,0,5
충청남도,1,4
충청남도,2,3
충청남도,3,1
충청남도,4,1
충청남도,6,5
충청남도,7,4
충청남도,8,5
충청남도,9,7
충청남도,10,8
충청남도,11,15
충청남도,12,17
충청남도,13,13
충청남도,14,10
충청남도,15,9
충청남도,16,11
충청남도,17,19
충청남도,18,27
충청남도,19,24
충청남도,20,18
충청남도,21,15
충청남도,22,11
충청남도,23,8
충청북도,0,2
충청북도,1,3
충청북도,2,2
충청북도,9,2
충청북도,10,2
충청북도,11,4
충청북도,12,4
충청북도,13,3
충청북도,14,3
충청북도,15,3
충청북도,16,3
충청북도,17,5
충청북도,18,7
충청북도,19,6
충청북도,20,5
충청북도,21,5
충청북도,22,4
충청북도,23,3
