광역시도,시군구,normal,rain,snow,hot,cold
경상남도,김해시,5.1,3.7,0.0,2.2,0.0
경상남도,사천시,0.1,0.0,,0.0,0.0
경상남도,양산시,0.0,0.0,,0.0,0.0
경상남도,진주시,56.9,59.3,,5.0,158.4
경상남도,창녕군,0.0,0.0,,0.0,0.0
경상남도,창원시 마산합포구,0.7,0.3,,0.0,1.8
경상남도,창원시 마산회원구,3.5,2.1,16.3,0.2,9.4
경상남도,창원시 성산구,0.0,0.0,0.0,0.0,0.0
경상남도,창원시 의창구,0.0,0.0,,0.0,0.0
경상남도,함양군,0.1,0.4,,0.0,0.0
경상북도,경산시,2.0,1.3,0.0,0.0,4.6
경상북도,경주시,5.0,8.2,14.0,0.4,7.2
경상북도,구미시,0.2,0.2,,0.0,0.0
경상북도,김천시,13.6,13.4,9.5,0.9,17.1
경상북도,문경시,0.2,0.2,1.0,0.0,0.6
경상북도,봉화군,0.0,0.0,0.0,0.0,0.0
경상북도,안동시,21.5,24.6,99.1,0.5,55.4
경상북도,영주시,0.4,0.3,1.4,0.0,0.7
경상북도,영천시,15.7,14.3,62.5,0.7,25.6
경상북도,예천군,1.7,1.6,11.0,0.1,3.7
경상북도,의성군,0.3,0.5,,0.0,0.0
경상북도,칠곡군,3.2,4.2,,0.0,12.2
경상북도,포항시 북구,0.2,0.2,,0.0,0.9
광주광역시,광산구,0.4,0.0,,0.0,6.2
광주광역시,남구,0.0,0.0,,0.0,0.0
광주광역시,동구,0.2,0.1,0.0,0.0,0.7
광주광역시,북구,3.3,4.5,,0.1,9.5
광주광역시,서구,0.4,0.4,,0.0,0.8
대구광역시,남구,0.4,0.3,,0.0,0.7
대구광역시,달서구,5.0,5.6,,0.4,9.6
대구광역시,달성군,3.2,1.9,,0.1,14.8
대구광역시,동구,0.8,1.0,2.0,0.1,1.8
대구광역시,북구,1.2,1.0,,0.2,0.0
대구광역시,서구,0.9,0.9,,0.1,1.0
대구광역시,수성구,2.4,2.5,6.0,0.2,12.0
대구광역시,중구,0.2,0.1,,0.0,0.0
대전광역시,대덕구,0.0,0.1,0.0,0.0,0.0
대전광역시,동구,10.3,14.1,0.0,0.9,19.7
대전광역시,서구,1.8,0.9,0.0,0.0,4.7
대전광역시,유성구,0.1,0.1,0.0,0.0,0.2
대전광역시,중구,0.0,0.0,0.0,0.0,0.0
부산광역시,강서구,22.8,24.9,,2.1,51.0
부산광역시,기장군,0.2,0.1,,0.0,0.3
부산광역시,남구,5.4,5.1,,0.5,0.0
부산광역시,동래구,0.0,0.0,,0.0,0.0
부산광역시,북구,0.3,0.2,,0.0,0.5
부산광역시,사하구,2.0,1.0,2.5,0.1,0.1
부산광역시,수영구,0.0,0.0,,0.0,0.0
부산광역시,연제구,0.1,0.1,,0.1,0.1
부산광역시,해운대구,0.5,0.5,,0.0,0.8
서울특별시,강남구,1.9,0.3,1.0,0.1,0.4
서울특별시,강동구,0.0,0.0,0.0,0.0,0.0
서울특별시,강북구,0.5,0.3,0.0,0.0,2.2
서울특별시,강서구,1.7,1.2,,1.1,1.3
서울특별시,관악구,15.0,12.5,16.0,3.1,38.8
서울특별시,구로구,63.5,72.8,107.7,11.1,105.7
서울특별시,금천구,28.3,35.4,0.0,5.2,36.1
서울특별시,노원구,1.0,0.5,,0.1,3.4
서울특별시,도봉구,14.8,16.2,,1.7,26.5
서울특별시,동대문구,0.0,0.0,0.0,0.0,0.0
서울특별시,동작구,11.4,8.5,15.7,1.8,32.4
서울특별시,마포구,0.5,0.6,0.0,0.3,0.0
서울특별시,서대문구,0.6,0.4,0.0,0.0,1.9
서울특별시,서초구,2.8,1.7,,0.8,5.9
서울특별시,성동구,0.0,0.0,,0.0,0.0
서울특별시,성북구,0.8,0.5,,0.1,0.9
서울특별시,송파구,0.1,0.0,0.0,0.0,0.0
서울특별시,양천구,5.5,6.0,0.0,1.7,9.3
서울특별시,영등포구,30.0,32.7,0.0,8.4,38.7
서울특별시,용산구,0.6,0.4,4.0,0.1,1.5
서울특별시,은평구,12.7,16.8,77.5,1.8,25.9
서울특별시,중구,0.1,0.1,,0.0,0.5
서울특별시,중랑구,0.0,0.0,,0.0,0.0
울산광역시,북구,0.3,0.3,,0.0,0.6
울산광역시,울주군,1.5,0.9,57.0,0.0,13.7
울산광역시,중구,0.1,0.1,,0.0,0.1
인천광역시,계양구,0.1,0.0,0.0,0.0,0.0
인천광역시,남동구,0.0,0.0,0.0,0.0,0.0
인천광역시,미추홀구,0.7,0.7,,0.1,0.7
인천광역시,부평구,29.2,31.9,20.0,3.1,34.6
인천광역시,서구,0.3,0.3,2.0,0.0,0.5
인천광역시,연수구,0.0,0.0,0.0,0.0,0.0
전라남도,광양시,19.2,22.8,,1.2,38.4
전라남도,나주시,10.3,11.6,0.0,0.1,14.5
전라남도,목포시,0.0,0.0,,0.0,0.0
전라남도,순천시,2.9,4.7,,0.7,2.0
전라남도,여수시,0.4,0.4,,0.0,0.9
전라북도,군산시,28.5,46.2,16.2,2.2,32.9
전라북도,김제시,0.0,0.0,0.0,0.0,0.0
전라북도,익산시,1.0,1.2,0.0,0.0,0.2
전라북도,전주시 완산구,2.2,2.7,0.0,0.7,0.0
전라북도,정읍시,1.4,0.9,2.0,0.1,2.9
제주특별자치도,서귀포시,22.4,19.7,,3.5,22.4
제주특별자치도,제주시,0.1,0.1,,0.0,0.0
충청남도,논산시,0.6,2.0,0.0,0.1,0.0
충청남도,보령시,0.5,0.5,0.0,0.0,0.8
충청남도,서산시,51.6,67.8,126.0,4.1,86.9
충청남도,아산시,0.5,2.2,0.0,0.0,0.0
충청남도,천안시 동남구,9.4,5.5,,0.7,16.4
충청남도,천안시 서북구,3.5,2.1,,0.3,5.8
충청남도,홍성군,0.1,0.1,0.0,0.0,0.0
충청북도,괴산군,0.1,0.1,0.0,0.0,0.3
충청북도,단양군,0.0,0.0,0.0,0.0,0.0
충청북도,음성군,0.1,0.0,0.0,0.0,0.2
충청북도,제천시,21.8,27.1,24.1,0.5,34.0
충청북도,증평군,0.0,0.0,,0.0,0.0
충청북도,청주시 청원구,2.0,2.5,,0.0,3.2
충청북도,청주시 흥덕구,0.0,0.0,0.0,0.0,0.0
충청북도,충주시,1.1,3.5,0.0,0.0,0.5
